iata,icao,name,country,latitude,longitude,altitude,continent
ORF,KORF,Norfolk International Airport,United States,36.893753,-76.200729,25,America
NLK,YSNF,Norfolk Island Airport,Australia,-29.041599,167.938705,371,Pacific
OFK,KOFK,Norfolk Regional Airport,United States,41.984165,-97.434166,1573,America
NSK,UOOO,Norilsk Alykel Airport,Russia,69.31105,87.332176,595,Asia
OUN,KOUN,Norman University of Oklahoma Westheimer Airport,United States,35.241978,-97.468529,1182,America
YVQ,CYVQ,Norman Wells Airport,Canada,65.281609,-126.797997,238,America
NMC,MYEN,Norman's Cay Airport,Bahamas,24.594299,-76.820198,8,America
NTN,YNTN,Normanton Airport,Australia,-17.68,141.070007,73,Australia
NRK,ESSP,Norrkoping Airport,Sweden,58.58625,16.25062,32,Europe
QEM,ESSN,Norrtalje Mellingeholms Airport,Sweden,59.733612,18.698334,40,Europe
NSM,YNSM,Norseman Airport,Australia,-32.202538,121.758263,878,Australia
YYB,CYYB,North Bay Jack Garland Airport,Canada,46.363609,-79.422699,1215,America
OTH,KOTH,North Bend Southwest Oregon Regional Airport,United States,43.418888,-124.239998,17,America
OBN,EGEO,North Connel Oban Airport,United Kingdom,56.463501,-5.39967,20,Europe
ELH,MYEH,North Eleuthera Airport,Bahamas,25.474859,-76.683403,27,America
NCO,KOQU,North Kingstown Quonset State Airport,United States,41.59565,-71.410355,11,America
VGT,KVGT,North Las Vegas Airport,United States,36.210171,-115.190826,2182,America
CRE,KCRE,North Myrtle Beach Grand Strand Airport,United States,33.811699,-78.7239,32,America
LBF,KLBF,North Platte Regional Airport,United States,41.126202,-100.683601,2777,America
XMS,XXXX,North Pole Santa Airport,Greenland,83.699997,-34.5,10,UTC
NRL,EGEN,North Ronaldsay Airport,United Kingdom,59.3675,-2.434444,56,Europe
YNO,CKQ3,North Spirit Lake Airport,Canada,52.490002,-92.9711,1082,America
QKN,EGSX,North Weald Airport,United Kingdom,51.721455,0.154339,265,Europe
IKB,KUKF,North Wilkesboro Wilkes County Airport,United States,36.222801,-81.098297,1301,America
ORM,EGBK,Northampton Sywell Airport,United Kingdom,52.305302,-0.793056,429,Europe
EDE,KEDE,Northeastern Regional Airport,United States,36.027699,-76.567101,20,America
YNE,CYNE,Norway House Airport,Canada,53.954166,-97.845833,734,America
NWI,EGSH,Norwich International Airport,United Kingdom,52.675831,1.282778,117,Europe
OWD,KOWD,Norwood Memorial Airport,United States,42.192123,-71.176788,46,America
NOB,MRNS,Nosara Airport,Costa Rica,9.976589,-85.652855,49,America
NSH,OINN,Noshahr Airport,Iran,36.6633,51.464699,-61,Asia
NOS,FMNN,Nosy Be Fascene Airport,Madagascar,-13.312,48.314819,36,Indian
NTB,ENNO,Notodden Airport,Norway,59.565701,9.21222,63,Europe
NQT,EGBN,Nottingham Airport,United Kingdom,52.919998,-1.07917,138,Europe
EMA,EGNX,Nottingham East Midlands Airport,United Kingdom,52.831108,-1.32805,306,Europe
NDB,GQPP,Nouadhibou International Airport,Mauritania,20.93306,-17.0299,16,Africa
NKC,GQNO,Nouakchott Oumtounsy International Airport,Mauritania,18.306103,-15.964665,7,Africa
NOU,NWWW,Noumea La Tontouta International Airport,New Caledonia,-22.0163,166.216095,52,Pacific
GEA,NWWM,Noumea Magenta Airport,New Caledonia,-22.258301,166.472702,10,Pacific
NOT,KDVO,Novato Marin County Airport,United States,38.143333,-122.555832,2,America
QAO,AT17,Novo Runway,Antarctica,-70.824242,11.628652,2000,UTC
NOZ,UNWW,Novokuznetsk Spichenkovo Airport,Russia,53.811378,86.87722,1024,Asia
OVB,UNNT,Novosibirsk Tolmachevo Airport,Russia,55.012619,82.65065,365,Asia
NUX,USMU,Novy Urengoy Airport,Russia,66.069443,76.520271,210,Asia
NOA,YSNW,Nowra Airport,Australia,-34.94849,150.536865,351,Australia
QPN,EPNT,Nowy Targ Airport,Poland,49.4631,20.050135,1997,Europe
NOJ,USRO,Noyabrsk Airport,Russia,63.183056,75.269165,446,Asia
GER,MUNG,Nueva Gerona Rafael Cabrera Airport,Cuba,21.834801,-82.783669,66,America
NLD,MMNL,Nuevo Laredo Quetzalcoatl International Airport,Mexico,27.443911,-99.570396,484,America
NUI,PAQT,Nuiqsut Airport,United States,70.209724,-151.005554,38,America
NHV,NTMD,Nuku Hiva Airport,French Polynesia,-8.79472,-140.223007,220,Pacific
NCU,UTNN,Nukus Airport,Uzbekistan,42.488411,59.623249,246,Asia
NUK,NTGW,Nukutavake Airport,French Polynesia,-19.284657,-138.768295,14,Pacific
NKP,NTKU,Nukutepipi Airport,French Polynesia,-20.699934,-143.045929,18,Pacific
NUL,PANU,Nulato Airport,United States,64.729134,-158.074646,386,America
NLL,YNUL,Nullagine Airport,Australia,-21.910473,120.197571,1269,Australia
NUB,YNUM,Numbulwar Airport,Australia,-14.269766,135.71489,39,Australia
